Course,Lesson,Title,Subtitle,Tool,Story,Key Verse,Summary
101 - Starting in Discipleship,,,,,,,
101,101.01,Welcome. Let's Start Growing.,Peaks and Valleys Exercise,Peaks and Valleys Exercise,,Mark 4:20,Establishes the journey of faith and uses personal reflection to see God's hand in one's personal history.
101,101.02,Salvation & Baptism,ABCs of the Gospel (Admit Believe Confess),ABCs of the Gospel (Admit Believe Confess),The Greenhouse Metaphor,Romans 10:9-10,"Teaches the Roman Road (Admit, Believe, Confess), identifies baptism as the outward sign of an inward faith, and addresses the assurance of salvation."
101,101.03,Prayer,Lord's Prayer pattern and prayer tool,Lord's Prayer pattern and prayer tool,,Matthew 6:9,"Provides a 6-step relational pattern for prayer using the Lord's Prayer: connecting with the Father, worshiping His name, praying His agenda, dependence, forgiveness, and spiritual warfare."
101,101.04,The Bible,Daily Bible Reading app,Daily Bible Reading app,"Nicodemus (John 3:1-4, 16-17)",2 Timothy 3:16,"Defines Scripture as God-breathed and introduces the 3-question discovery method: what it says about God, what it says about man, and what you will do or believe."
101,101.05,The Church,Acts 2:42 four pillars,Acts 2:42 four pillars,The Early Church (Acts 2:42-47),Acts 2:42,"Defines the church's purpose to love, equip, and serve based on the Acts 2:42-47 model of devoted fellowship and intentional community."
101,101.06,Sharing Jesus with Others,Gospel diagram and BLESS rhythm,Gospel diagram and BLESS rhythm,,Romans 10:15,"Something amazing just happened in your life - and the most natural thing in the world is to tell someone about it. Introduces the heart of evangelism and a simplified version of the BLESS rhythm (Begin with Prayer, Listen, Eat, Serve, Story). A deeper dive into BLESS comes in 203."
101,101.07,A Life of Repentance,Repentance Rhythm cycle,Repentance Rhythm cycle,Prodigal Son (Luke 15),1 John 1:9,Frames repentance as an ongoing rhythm of the heart - turning from sin and back to God - that keeps your faith alive and your walk with Jesus moving forward.
201 - Growing Deep in Discipleship,,,,,,,
201,201.01,Loving God,Great Commandment Diagram,Great Commandment Diagram,Prodigal Son (Luke 15),Matthew 22:37,"Explores the Greatest Commandment - loving God with all your heart, soul, mind, and strength - while also revealing the character and nature of God as Father. Introduces the Trinity (Father, Son, Spirit) as the foundation for lessons 1-3."
201,201.02,New Identity in Jesus,Clothed in Christ through the Great Exchange,Great Exchange widget,The Light Came Down (John 1),Galatians 2:20,"John 1 reveals Jesus as the eternal Word and true Light who came into the world. Whoever receives Him is given the right to become a child of God. Through the Great Exchange, Jesus takes your sin, gives you His righteousness, clothes you with Himself, and makes you a new creation."
201,201.03,The Guiding of the Holy Spirit,The Five Actions of the Holy Spirit,The Five Actions of the Holy Spirit,The Pillar in the Wilderness,John 14:16-17,"The Holy Spirit can feel mysterious, but Jesus promised Him as a Helper who is with you forever. From the pillar of cloud and fire that led Israel through the wilderness to the Spirit who lives inside every believer today, God has always been a guide to His people. This lesson walks through what the Spirit actually does in your life and why you can trust Him to lead you every step of the way."
